VirtualAddress: 0xffff93328000L, PFN: 0xbafc6L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93329000L, PFN: 0xbafc7L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9332a000L, PFN: 0xbafc9L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9332b000L, PFN: 0xbafcaL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9332c000L, PFN: 0xbafcbL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9332d000L, PFN: 0xbafccL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9332e000L, PFN: 0xbafcdL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9332f000L, PFN: 0xbafceL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93330000L, PFN: 0xbafcfL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93331000L, PFN: 0xbafd0L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93332000L, PFN: 0xbafd1L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93333000L, PFN: 0xbafd2L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93334000L, PFN: 0xbafd3L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93335000L, PFN: 0xbafd4L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93336000L, PFN: 0xbacc4L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93337000L, PFN: 0xbacc5L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93338000L, PFN: 0xbacc6L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93339000L, PFN: 0xbacc7L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9333a000L, PFN: 0xbacc8L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9333b000L, PFN: 0xbacc9L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9333c000L, PFN: 0xbaccaL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9333d000L, PFN: 0xbaccbL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9333e000L, PFN: 0xbacccL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9333f000L, PFN: 0xbaccdL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93340000L, PFN: 0xbacceL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93341000L, PFN: 0xbaccfL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93342000L, PFN: 0xbacd0L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93343000L, PFN: 0xbacd1L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93344000L, PFN: 0xbacd2L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93345000L, PFN: 0xbacd3L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93346000L, PFN: 0xbacd4L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93347000L, PFN: 0xbacd5L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93348000L, PFN: 0xbacd6L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93349000L, PFN: 0xbacd7L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9334a000L, PFN: 0xbacd8L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9334b000L, PFN: 0xbacd9L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9334c000L, PFN: 0xbacdaL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9334d000L, PFN: 0xbacdbL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9334e000L, PFN: 0xbacdcL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9334f000L, PFN: 0xbacddL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93350000L, PFN: 0xbacdeL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93351000L, PFN: 0xbacdfL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93352000L, PFN: 0xbace0L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93353000L, PFN: 0xbace1L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93354000L, PFN: 0xbace2L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93355000L, PFN: 0xbace3L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93356000L, PFN: 0xba86cL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93357000L, PFN: 0xba86dL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93358000L, PFN: 0xba86eL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93359000L, PFN: 0xba86fL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9335a000L, PFN: 0xba870L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9335b000L, PFN: 0xba871L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9335c000L, PFN: 0xba872L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9335d000L, PFN: 0xbaf97L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9335e000L, PFN: 0xbaf98L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9335f000L, PFN: 0xbaf99L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93380000L, PFN: 0xb9ef0L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93381000L, PFN: 0xb9d23L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93382000L, PFN: 0xbaf11L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93383000L, PFN: 0xbaf12L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93384000L, PFN: 0xbaf13L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93385000L, PFN: 0xbaf14L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93386000L, PFN: 0xbaf15L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93387000L, PFN: 0xbaf16L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93388000L, PFN: 0xbaf17L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93389000L, PFN: 0xbaf18L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9338a000L, PFN: 0xbaf19L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9338b000L, PFN: 0xbaf1aL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9338c000L, PFN: 0xbaf1bL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9338d000L, PFN: 0xbaf1cL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9338e000L, PFN: 0xbaf1dL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9338f000L, PFN: 0xbaf1eL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93390000L, PFN: 0xbaf1fL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93391000L, PFN: 0xbaf20L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93392000L, PFN: 0xbaf21L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93393000L, PFN: 0xbaf22L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93394000L, PFN: 0xbaf23L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93395000L, PFN: 0xbaf24L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93396000L, PFN: 0xbaf25L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93397000L, PFN: 0xbaf26L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93398000L, PFN: 0xbaf27L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93399000L, PFN: 0xbaf28L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9339a000L, PFN: 0xbaf2eL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9339b000L, PFN: 0xbaf2fL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9339c000L, PFN: 0xbaf30L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9339d000L, PFN: 0xbaf31L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9339e000L, PFN: 0xbaf32L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9339f000L, PFN: 0xbaf33L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933a0000L, PFN: 0xbaf34L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933a1000L, PFN: 0xbaf35L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933a2000L, PFN: 0xbaf36L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933a3000L, PFN: 0xbaf37L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933a4000L, PFN: 0xbaf38L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933a5000L, PFN: 0xbaf39L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933a6000L, PFN: 0xbaf3aL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933a7000L, PFN: 0xbaf3bL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933a8000L, PFN: 0xbaf3cL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933a9000L, PFN: 0xbaf3dL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933aa000L, PFN: 0xbaf3eL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933ab000L, PFN: 0xbaf3fL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933ac000L, PFN: 0xbaf40L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933ad000L, PFN: 0xbaf41L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933ae000L, PFN: 0xbaf42L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933af000L, PFN: 0xbaf43L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933d0000L, PFN: 0xbaf77L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933d1000L, PFN: 0xbaf78L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933d2000L, PFN: 0xbaf79L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933d3000L, PFN: 0xbaf7aL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933d4000L, PFN: 0xbaf7bL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933d5000L, PFN: 0xbaf7cL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933d6000L, PFN: 0xbaf7dL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933d7000L, PFN: 0xbaf7eL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933d8000L, PFN: 0xbaf7fL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933d9000L, PFN: 0xbaf80L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933da000L, PFN: 0xbaf81L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933db000L, PFN: 0xbaf82L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933dc000L, PFN: 0xbaf83L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933dd000L, PFN: 0xbaf84L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933de000L, PFN: 0xbaf85L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933df000L, PFN: 0xbaf86L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933f0000L, PFN: 0xbaf5cL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933f1000L, PFN: 0xbaf5bL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933f2000L, PFN: 0xbaf5aL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff933f3000L, PFN: 0xbaf59L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
